Date,SPX
10/29/2009,1066.11
10/30/2009,1036.19
11/02/2009,1042.88
11/03/2009,1045.41
11/04/2009,1046.50
11/05/2009,1066.63
11/06/2009,1069.30
11/09/2009,1093.08
11/10/2009,1093.01
11/11/2009,1098.51
11/12/2009,1087.24
11/13/2009,1093.48
11/16/2009,1109.30
11/17/2009,1110.32
11/18/2009,1109.80
11/19/2009,1094.90
11/20/2009,1091.38
11/23/2009,1106.24
11/24/2009,1105.65
11/25/2009,1110.63
11/27/2009,1091.49
11/30/2009,1095.63
12/01/2009,1108.86
12/02/2009,1109.24
12/03/2009,1099.92
12/04/2009,1105.98
12/07/2009,1103.25
12/08/2009,1091.94
12/09/2009,1095.95
12/10/2009,1102.35
12/11/2009,1106.41
12/14/2009,1114.11
12/15/2009,1107.93
12/16/2009,1109.18
12/17/2009,1096.08
12/18/2009,1102.47
12/21/2009,1114.05
12/22/2009,1118.02
12/23/2009,1120.59
12/24/2009,1126.48
12/28/2009,1127.78
12/29/2009,1126.20
12/30/2009,1126.42
12/31/2009,1115.10
01/04/2010,1132.99
01/05/2010,1136.52
01/06/2010,1137.14
01/07/2010,1141.69
01/08/2010,1144.98
01/11/2010,1146.98
01/12/2010,1136.22
01/13/2010,1145.68
01/14/2010,1148.46
01/15/2010,1136.03
01/19/2010,1150.23
01/20/2010,1138.04
01/21/2010,1116.48
01/22/2010,1091.76
01/25/2010,1096.78
01/26/2010,1092.17
01/27/2010,1097.50
01/28/2010,1084.53
01/29/2010,1073.87
02/01/2010,1089.19
02/02/2010,1103.32
02/03/2010,1097.28
02/04/2010,1063.11
02/05/2010,1066.19
02/08/2010,1056.74
02/09/2010,1070.52
02/10/2010,1068.13
02/11/2010,1078.47
02/12/2010,1075.51
02/16/2010,1094.87
02/17/2010,1099.51
02/18/2010,1106.75
02/19/2010,1109.17
02/22/2010,1108.01
02/23/2010,1094.60
02/24/2010,1105.24
02/25/2010,1102.94
02/26/2010,1104.49
03/01/2010,1115.71
03/02/2010,1118.31
03/03/2010,1118.79
03/04/2010,1122.97
03/05/2010,1138.70
03/08/2010,1138.50
03/09/2010,1140.45
03/10/2010,1145.61
03/11/2010,1150.24
03/12/2010,1149.99
03/15/2010,1150.51
03/16/2010,1159.46
03/17/2010,1166.21
03/18/2010,1165.83
03/19/2010,1159.90
03/22/2010,1165.81
03/23/2010,1174.17
03/24/2010,1167.72
03/25/2010,1165.73
03/26/2010,1166.59
03/29/2010,1173.22
03/30/2010,1173.27
03/31/2010,1169.43
04/01/2010,1178.10
04/05/2010,1187.44
04/06/2010,1189.44
04/07/2010,1182.45
04/08/2010,1186.44
04/09/2010,1194.37
04/12/2010,1196.48
04/13/2010,1197.30
04/14/2010,1210.65
04/15/2010,1211.67
04/16/2010,1192.13
04/19/2010,1197.52
04/20/2010,1207.17
04/21/2010,1205.94
04/22/2010,1208.67
04/23/2010,1217.28
04/26/2010,1212.05
04/27/2010,1183.71
04/28/2010,1191.36
04/29/2010,1206.78
04/30/2010,1186.69
05/03/2010,1202.26
05/04/2010,1173.60
05/05/2010,1165.87
05/06/2010,1128.15
05/07/2010,1110.88
05/10/2010,1159.73
05/11/2010,1155.79
05/12/2010,1171.67
05/13/2010,1157.44
05/14/2010,1135.68
05/17/2010,1136.94
05/18/2010,1120.80
05/19/2010,1115.05
05/20/2010,1071.59
05/21/2010,1087.69
05/24/2010,1073.65
05/25/2010,1074.03
05/26/2010,1067.95
05/27/2010,1103.06
05/28/2010,1089.41
06/01/2010,1070.71
06/02/2010,1098.38
06/03/2010,1102.83
06/04/2010,1064.88
06/07/2010,1050.47
06/08/2010,1062.00
06/09/2010,1055.69
06/10/2010,1086.84
06/11/2010,1091.60
06/14/2010,1089.63
06/15/2010,1115.23
06/16/2010,1114.61
06/17/2010,1116.04
06/18/2010,1117.51
06/21/2010,1113.20
06/22/2010,1095.31
06/23/2010,1092.04
06/24/2010,1073.69
06/25/2010,1076.76
06/28/2010,1074.57
06/29/2010,1041.24
06/30/2010,1030.71
07/01/2010,1027.37
07/02/2010,1022.58
07/06/2010,1028.06
07/07/2010,1060.27
07/08/2010,1070.25
07/09/2010,1077.96
07/12/2010,1078.75
07/13/2010,1095.34
07/14/2010,1095.17
07/15/2010,1096.48
07/16/2010,1064.88
07/19/2010,1071.25
07/20/2010,1083.48
07/21/2010,1069.59
07/22/2010,1093.67
07/23/2010,1102.66
07/26/2010,1115.01
07/27/2010,1113.84
07/28/2010,1106.13
07/29/2010,1101.53
07/30/2010,1101.60
08/02/2010,1125.86
08/03/2010,1120.46
08/04/2010,1127.24
08/05/2010,1125.81
08/06/2010,1121.64
08/09/2010,1127.79
08/10/2010,1121.06
08/11/2010,1089.47
08/12/2010,1083.61
08/13/2010,1079.25
08/16/2010,1079.38
08/17/2010,1092.54
08/18/2010,1094.16
08/19/2010,1075.63
08/20/2010,1071.69
08/23/2010,1067.36
08/24/2010,1051.87
08/25/2010,1055.33
08/26/2010,1047.22
08/27/2010,1064.59
08/30/2010,1048.92
08/31/2010,1049.33
09/01/2010,1080.29
09/02/2010,1090.10
09/03/2010,1104.51
09/07/2010,1091.84
